"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,9,1,12,2020-12-16
"20 - 24",2,0,20,0,22,2020-12-16
"25 - 29",6,3,29,2,40,2020-12-16
"30 - 34",4,3,66,3,76,2020-12-16
"35 - 39",6,4,62,9,81,2020-12-16
"40 - 44",7,6,101,11,125,2020-12-16
"45 - 49",18,9,234,31,292,2020-12-16
"50 - 54",30,40,368,50,488,2020-12-16
"55 - 59",59,62,479,109,709,2020-12-16
"60 - 64",50,91,569,196,906,2020-12-16
"65 - 69",53,110,525,316,1004,2020-12-16
"70 - 74",59,127,526,431,1143,2020-12-16
"75 - 79",28,67,272,349,716,2020-12-16
"80 - 84",17,14,62,136,229,2020-12-16
"85 - 89",3,0,7,24,34,2020-12-16
">90",1,0,1,2,4,2020-12-16
