"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-05-24
"20 - 24",2,1,40,0,43,2021-05-24
"25 - 29",3,7,82,6,98,2021-05-24
"30 - 34",6,3,154,5,168,2021-05-24
"35 - 39",17,9,167,14,207,2021-05-24
"40 - 44",18,13,264,24,319,2021-05-24
"45 - 49",32,34,508,54,628,2021-05-24
"50 - 54",50,63,869,129,1111,2021-05-24
"55 - 59",77,93,1200,223,1593,2021-05-24
"60 - 64",72,82,1334,437,1925,2021-05-24
"65 - 69",81,128,1322,662,2193,2021-05-24
"70 - 74",74,116,1179,944,2313,2021-05-24
"75 - 79",31,42,605,655,1333,2021-05-24
"80 - 84",5,2,134,224,365,2021-05-24
"85 - 89",1,0,17,35,53,2021-05-24
">90",0,0,4,2,6,2021-05-24
