"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",4,0,4,1,9,2020-05-14
"20 - 24",3,1,6,0,10,2020-05-14
"25 - 29",5,3,7,2,17,2020-05-14
"30 - 34",8,5,17,1,31,2020-05-14
"35 - 39",13,2,20,4,39,2020-05-14
"40 - 44",16,6,31,3,56,2020-05-14
"45 - 49",32,22,82,20,156,2020-05-14
"50 - 54",56,33,127,20,236,2020-05-14
"55 - 59",82,46,164,70,362,2020-05-14
"60 - 64",122,70,166,90,448,2020-05-14
"65 - 69",95,69,170,161,495,2020-05-14
"70 - 74",92,78,170,208,548,2020-05-14
"75 - 79",44,33,82,154,313,2020-05-14
"80 - 84",10,4,9,39,62,2020-05-14
"85 - 89",2,1,2,7,12,2020-05-14
">90",1,0,1,0,2,2020-05-14
