"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,5,9,1,15,2020-11-02
"20 - 24",4,2,15,0,21,2020-11-02
"25 - 29",2,2,23,2,29,2020-11-02
"30 - 34",5,2,46,2,55,2020-11-02
"35 - 39",4,5,49,8,66,2020-11-02
"40 - 44",6,10,77,8,101,2020-11-02
"45 - 49",18,17,184,22,241,2020-11-02
"50 - 54",24,42,279,32,377,2020-11-02
"55 - 59",32,69,362,85,548,2020-11-02
"60 - 64",46,109,407,129,691,2020-11-02
"65 - 69",48,106,396,222,772,2020-11-02
"70 - 74",38,141,371,301,851,2020-11-02
"75 - 79",26,78,198,236,538,2020-11-02
"80 - 84",17,29,34,79,159,2020-11-02
"85 - 89",1,0,5,18,24,2020-11-02
">90",1,0,0,1,2,2020-11-02
