"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,3,1,1,8,2020-04-23
"20 - 24",4,6,2,0,12,2020-04-23
"25 - 29",6,1,5,2,14,2020-04-23
"30 - 34",6,9,12,1,28,2020-04-23
"35 - 39",14,13,11,3,41,2020-04-23
"40 - 44",23,14,15,3,55,2020-04-23
"45 - 49",50,42,41,14,147,2020-04-23
"50 - 54",81,89,59,14,243,2020-04-23
"55 - 59",102,125,67,51,345,2020-04-23
"60 - 64",130,166,63,74,433,2020-04-23
"65 - 69",100,169,82,128,479,2020-04-23
"70 - 74",101,192,72,166,531,2020-04-23
"75 - 79",66,76,41,132,315,2020-04-23
"80 - 84",8,15,4,36,63,2020-04-23
"85 - 89",2,0,0,6,8,2020-04-23
">90",0,0,0,0,0,2020-04-23
