"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,8,1,11,2020-05-29
"20 - 24",2,1,7,0,10,2020-05-29
"25 - 29",4,1,9,2,16,2020-05-29
"30 - 34",8,2,21,1,32,2020-05-29
"35 - 39",9,1,25,6,41,2020-05-29
"40 - 44",6,4,44,3,57,2020-05-29
"45 - 49",27,6,105,20,158,2020-05-29
"50 - 54",47,15,162,22,246,2020-05-29
"55 - 59",56,25,214,75,370,2020-05-29
"60 - 64",80,26,248,97,451,2020-05-29
"65 - 69",59,37,232,173,501,2020-05-29
"70 - 74",65,42,227,215,549,2020-05-29
"75 - 79",30,20,105,161,316,2020-05-29
"80 - 84",5,3,16,40,64,2020-05-29
"85 - 89",2,0,3,8,13,2020-05-29
">90",0,0,1,0,1,2020-05-29
