"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,8,1,10,2020-08-03
"20 - 24",3,1,7,0,11,2020-08-03
"25 - 29",1,0,16,2,19,2020-08-03
"30 - 34",1,1,33,3,38,2020-08-03
"35 - 39",1,1,33,6,41,2020-08-03
"40 - 44",2,3,53,5,63,2020-08-03
"45 - 49",5,1,136,19,161,2020-08-03
"50 - 54",10,2,217,23,252,2020-08-03
"55 - 59",11,5,289,75,380,2020-08-03
"60 - 64",16,4,330,100,450,2020-08-03
"65 - 69",11,5,311,184,511,2020-08-03
"70 - 74",17,6,303,229,555,2020-08-03
"75 - 79",9,8,144,165,326,2020-08-03
"80 - 84",3,3,19,45,70,2020-08-03
"85 - 89",1,1,4,10,16,2020-08-03
">90",0,0,0,0,0,2020-08-03
