"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,7,1,8,2020-09-01
"20 - 24",1,1,10,0,12,2020-09-01
"25 - 29",0,0,18,2,20,2020-09-01
"30 - 34",2,0,33,2,37,2020-09-01
"35 - 39",4,1,35,6,46,2020-09-01
"40 - 44",1,2,55,5,63,2020-09-01
"45 - 49",3,1,145,18,167,2020-09-01
"50 - 54",8,5,227,23,263,2020-09-01
"55 - 59",4,3,304,74,385,2020-09-01
"60 - 64",13,9,344,105,471,2020-09-01
"65 - 69",7,9,322,190,528,2020-09-01
"70 - 74",10,6,322,232,570,2020-09-01
"75 - 79",7,3,150,166,326,2020-09-01
"80 - 84",4,1,21,49,75,2020-09-01
"85 - 89",0,1,4,11,16,2020-09-01
">90",0,0,0,0,0,2020-09-01
