"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,20,3,24,2021-07-09
"20 - 24",2,0,46,0,48,2021-07-09
"25 - 29",0,1,94,6,101,2021-07-09
"30 - 34",0,2,166,6,174,2021-07-09
"35 - 39",0,1,196,14,211,2021-07-09
"40 - 44",2,4,299,26,331,2021-07-09
"45 - 49",6,5,577,65,653,2021-07-09
"50 - 54",12,12,992,141,1157,2021-07-09
"55 - 59",15,14,1368,248,1645,2021-07-09
"60 - 64",7,15,1479,451,1952,2021-07-09
"65 - 69",11,16,1479,717,2223,2021-07-09
"70 - 74",17,14,1311,991,2333,2021-07-09
"75 - 79",7,3,652,684,1346,2021-07-09
"80 - 84",0,1,139,228,368,2021-07-09
"85 - 89",0,0,17,37,54,2021-07-09
">90",0,0,4,2,6,2021-07-09
