"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,10,1,13,2020-12-04
"20 - 24",2,0,20,0,22,2020-12-04
"25 - 29",3,2,28,2,35,2020-12-04
"30 - 34",5,4,59,3,71,2020-12-04
"35 - 39",5,4,59,9,77,2020-12-04
"40 - 44",7,6,94,10,117,2020-12-04
"45 - 49",7,14,230,29,280,2020-12-04
"50 - 54",24,38,347,46,455,2020-12-04
"55 - 59",52,69,451,103,675,2020-12-04
"60 - 64",63,82,530,178,853,2020-12-04
"65 - 69",53,89,491,297,930,2020-12-04
"70 - 74",58,114,493,398,1063,2020-12-04
"75 - 79",38,51,251,327,667,2020-12-04
"80 - 84",16,11,56,125,208,2020-12-04
"85 - 89",2,2,6,21,31,2020-12-04
">90",0,0,1,3,4,2020-12-04
