"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,2,9,1,13,2020-12-20
"20 - 24",2,0,20,0,22,2020-12-20
"25 - 29",7,5,30,2,44,2020-12-20
"30 - 34",3,5,68,3,79,2020-12-20
"35 - 39",6,3,64,9,82,2020-12-20
"40 - 44",9,5,101,11,126,2020-12-20
"45 - 49",15,12,239,31,297,2020-12-20
"50 - 54",29,41,377,52,499,2020-12-20
"55 - 59",53,63,496,112,724,2020-12-20
"60 - 64",51,102,577,201,931,2020-12-20
"65 - 69",46,129,535,321,1031,2020-12-20
"70 - 74",61,137,541,441,1180,2020-12-20
"75 - 79",32,69,275,357,733,2020-12-20
"80 - 84",18,14,63,138,233,2020-12-20
"85 - 89",2,0,7,26,35,2020-12-20
">90",1,0,1,2,4,2020-12-20
