"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,19,3,22,2021-05-16
"20 - 24",2,0,39,0,41,2021-05-16
"25 - 29",4,2,80,5,91,2021-05-16
"30 - 34",9,7,145,4,165,2021-05-16
"35 - 39",19,8,160,13,200,2021-05-16
"40 - 44",23,16,251,23,313,2021-05-16
"45 - 49",40,34,487,54,615,2021-05-16
"50 - 54",46,60,841,128,1075,2021-05-16
"55 - 59",83,104,1151,221,1559,2021-05-16
"60 - 64",81,106,1287,423,1897,2021-05-16
"65 - 69",87,148,1277,649,2161,2021-05-16
"70 - 74",92,146,1139,919,2296,2021-05-16
"75 - 79",36,48,592,648,1324,2021-05-16
"80 - 84",7,1,131,222,361,2021-05-16
"85 - 89",2,0,16,35,53,2021-05-16
">90",0,0,4,2,6,2021-05-16
