"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,8,1,10,2020-10-12
"20 - 24",1,1,11,0,13,2020-10-12
"25 - 29",1,0,22,2,25,2020-10-12
"30 - 34",2,4,39,2,47,2020-10-12
"35 - 39",5,6,41,7,59,2020-10-12
"40 - 44",6,9,66,6,87,2020-10-12
"45 - 49",8,13,163,19,203,2020-10-12
"50 - 54",10,20,250,27,307,2020-10-12
"55 - 59",14,24,325,80,443,2020-10-12
"60 - 64",14,45,369,114,542,2020-10-12
"65 - 69",19,52,344,199,614,2020-10-12
"70 - 74",17,59,340,251,667,2020-10-12
"75 - 79",9,39,171,186,405,2020-10-12
"80 - 84",5,11,29,53,98,2020-10-12
"85 - 89",0,2,5,16,23,2020-10-12
">90",0,0,0,0,0,2020-10-12
