"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,15,2,18,2021-03-12
"20 - 24",4,0,30,0,34,2021-03-12
"25 - 29",4,1,56,3,64,2021-03-12
"30 - 34",6,5,92,3,106,2021-03-12
"35 - 39",6,8,104,11,129,2021-03-12
"40 - 44",11,9,160,17,197,2021-03-12
"45 - 49",22,21,354,43,440,2021-03-12
"50 - 54",39,48,583,94,764,2021-03-12
"55 - 59",64,82,818,166,1130,2021-03-12
"60 - 64",73,112,960,309,1454,2021-03-12
"65 - 69",64,117,897,480,1558,2021-03-12
"70 - 74",57,112,853,707,1729,2021-03-12
"75 - 79",31,55,463,516,1065,2021-03-12
"80 - 84",9,8,107,193,317,2021-03-12
"85 - 89",1,0,15,31,47,2021-03-12
">90",0,0,3,2,5,2021-03-12
