"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-06-02
"20 - 24",3,2,41,0,46,2021-06-02
"25 - 29",5,2,87,6,100,2021-06-02
"30 - 34",3,4,159,5,171,2021-06-02
"35 - 39",13,6,176,14,209,2021-06-02
"40 - 44",15,10,274,25,324,2021-06-02
"45 - 49",24,23,533,61,641,2021-06-02
"50 - 54",44,58,905,132,1139,2021-06-02
"55 - 59",56,66,1265,229,1616,2021-06-02
"60 - 64",52,54,1391,443,1940,2021-06-02
"65 - 69",59,99,1369,684,2211,2021-06-02
"70 - 74",69,69,1226,961,2325,2021-06-02
"75 - 79",22,23,624,671,1340,2021-06-02
"80 - 84",3,0,136,228,367,2021-06-02
"85 - 89",0,0,17,36,53,2021-06-02
">90",0,0,4,2,6,2021-06-02
