"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,15,2,18,2021-03-11
"20 - 24",3,1,30,0,34,2021-03-11
"25 - 29",4,1,56,3,64,2021-03-11
"30 - 34",7,4,91,3,105,2021-03-11
"35 - 39",7,6,103,11,127,2021-03-11
"40 - 44",9,9,160,17,195,2021-03-11
"45 - 49",23,18,352,43,436,2021-03-11
"50 - 54",34,49,583,94,760,2021-03-11
"55 - 59",59,86,816,166,1127,2021-03-11
"60 - 64",68,119,956,306,1449,2021-03-11
"65 - 69",64,113,894,478,1549,2021-03-11
"70 - 74",60,108,848,705,1721,2021-03-11
"75 - 79",32,53,460,516,1061,2021-03-11
"80 - 84",10,9,107,192,318,2021-03-11
"85 - 89",1,0,15,31,47,2021-03-11
">90",0,0,3,2,5,2021-03-11
