"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,15,2,17,2021-02-26
"20 - 24",2,1,29,0,32,2021-02-26
"25 - 29",2,2,52,3,59,2021-02-26
"30 - 34",4,4,88,3,99,2021-02-26
"35 - 39",3,10,92,11,116,2021-02-26
"40 - 44",7,9,145,16,177,2021-02-26
"45 - 49",18,23,335,42,418,2021-02-26
"50 - 54",25,48,552,89,714,2021-02-26
"55 - 59",58,70,764,157,1049,2021-02-26
"60 - 64",60,103,902,294,1359,2021-02-26
"65 - 69",62,98,841,466,1467,2021-02-26
"70 - 74",60,101,811,683,1655,2021-02-26
"75 - 79",27,52,433,493,1005,2021-02-26
"80 - 84",5,9,104,184,302,2021-02-26
"85 - 89",1,0,15,31,47,2021-02-26
">90",0,0,3,2,5,2021-02-26
