"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,19,3,23,2021-06-21
"20 - 24",2,1,45,0,48,2021-06-21
"25 - 29",1,1,92,6,100,2021-06-21
"30 - 34",2,4,161,6,173,2021-06-21
"35 - 39",8,3,185,14,210,2021-06-21
"40 - 44",10,6,290,25,331,2021-06-21
"45 - 49",17,12,560,62,651,2021-06-21
"50 - 54",30,24,959,137,1150,2021-06-21
"55 - 59",38,36,1326,243,1643,2021-06-21
"60 - 64",21,31,1451,447,1950,2021-06-21
"65 - 69",42,34,1434,708,2218,2021-06-21
"70 - 74",36,30,1283,983,2332,2021-06-21
"75 - 79",11,9,643,681,1344,2021-06-21
"80 - 84",2,1,138,228,369,2021-06-21
"85 - 89",0,0,18,36,54,2021-06-21
">90",0,0,4,2,6,2021-06-21
