"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,16,2,20,2021-03-26
"20 - 24",3,1,32,0,36,2021-03-26
"25 - 29",0,3,63,3,69,2021-03-26
"30 - 34",11,4,100,3,118,2021-03-26
"35 - 39",5,13,115,12,145,2021-03-26
"40 - 44",13,17,173,17,220,2021-03-26
"45 - 49",23,21,378,44,466,2021-03-26
"50 - 54",33,56,636,99,824,2021-03-26
"55 - 59",59,90,886,173,1208,2021-03-26
"60 - 64",79,107,1030,332,1548,2021-03-26
"65 - 69",67,131,965,504,1667,2021-03-26
"70 - 74",60,116,897,744,1817,2021-03-26
"75 - 79",33,69,490,541,1133,2021-03-26
"80 - 84",9,6,115,198,328,2021-03-26
"85 - 89",1,2,15,33,51,2021-03-26
">90",0,0,3,2,5,2021-03-26
