"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,16,2,19,2021-03-23
"20 - 24",2,0,32,0,34,2021-03-23
"25 - 29",2,1,61,3,67,2021-03-23
"30 - 34",8,7,99,3,117,2021-03-23
"35 - 39",6,12,112,12,142,2021-03-23
"40 - 44",5,21,171,17,214,2021-03-23
"45 - 49",18,27,372,44,461,2021-03-23
"50 - 54",34,55,623,99,811,2021-03-23
"55 - 59",59,91,872,172,1194,2021-03-23
"60 - 64",81,112,1010,329,1532,2021-03-23
"65 - 69",79,116,945,496,1636,2021-03-23
"70 - 74",60,116,883,737,1796,2021-03-23
"75 - 79",32,66,481,536,1115,2021-03-23
"80 - 84",8,8,114,197,327,2021-03-23
"85 - 89",1,0,15,32,48,2021-03-23
">90",0,0,3,2,5,2021-03-23
