"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-06-04
"20 - 24",2,2,42,0,46,2021-06-04
"25 - 29",5,2,87,6,100,2021-06-04
"30 - 34",2,4,159,5,170,2021-06-04
"35 - 39",10,6,179,14,209,2021-06-04
"40 - 44",16,6,277,25,324,2021-06-04
"45 - 49",23,21,537,61,642,2021-06-04
"50 - 54",43,46,916,133,1138,2021-06-04
"55 - 59",58,59,1268,230,1615,2021-06-04
"60 - 64",45,49,1403,444,1941,2021-06-04
"65 - 69",56,93,1377,690,2216,2021-06-04
"70 - 74",67,62,1234,963,2326,2021-06-04
"75 - 79",19,24,627,671,1341,2021-06-04
"80 - 84",3,0,136,228,367,2021-06-04
"85 - 89",0,0,17,36,53,2021-06-04
">90",0,0,4,2,6,2021-06-04
