"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,1,13,2,18,2021-02-15
"20 - 24",3,1,26,0,30,2021-02-15
"25 - 29",5,3,46,3,57,2021-02-15
"30 - 34",5,2,87,3,97,2021-02-15
"35 - 39",2,2,91,11,106,2021-02-15
"40 - 44",9,8,134,16,167,2021-02-15
"45 - 49",20,27,316,40,403,2021-02-15
"50 - 54",33,46,511,83,673,2021-02-15
"55 - 59",50,77,720,150,997,2021-02-15
"60 - 64",56,108,854,285,1303,2021-02-15
"65 - 69",60,101,800,447,1408,2021-02-15
"70 - 74",66,97,758,663,1584,2021-02-15
"75 - 79",24,50,412,481,967,2021-02-15
"80 - 84",9,10,98,179,296,2021-02-15
"85 - 89",2,0,14,31,47,2021-02-15
">90",0,0,3,2,5,2021-02-15
