"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,19,3,22,2021-05-19
"20 - 24",2,0,40,0,42,2021-05-19
"25 - 29",4,4,81,6,95,2021-05-19
"30 - 34",10,7,147,5,169,2021-05-19
"35 - 39",17,7,164,14,202,2021-05-19
"40 - 44",19,13,258,24,314,2021-05-19
"45 - 49",33,36,497,54,620,2021-05-19
"50 - 54",45,65,858,129,1097,2021-05-19
"55 - 59",85,98,1171,222,1576,2021-05-19
"60 - 64",81,92,1311,427,1911,2021-05-19
"65 - 69",85,136,1300,655,2176,2021-05-19
"70 - 74",86,130,1161,932,2309,2021-05-19
"75 - 79",37,40,595,653,1325,2021-05-19
"80 - 84",6,3,132,221,362,2021-05-19
"85 - 89",1,0,17,35,53,2021-05-19
">90",0,0,4,2,6,2021-05-19
