"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,3,12,1,17,2021-01-27
"20 - 24",2,2,24,0,28,2021-01-27
"25 - 29",3,3,42,3,51,2021-01-27
"30 - 34",5,4,80,3,92,2021-01-27
"35 - 39",7,5,79,10,101,2021-01-27
"40 - 44",5,8,125,14,152,2021-01-27
"45 - 49",15,26,295,36,372,2021-01-27
"50 - 54",26,45,467,79,617,2021-01-27
"55 - 59",56,85,647,138,926,2021-01-27
"60 - 64",73,124,749,257,1203,2021-01-27
"65 - 69",67,143,699,407,1316,2021-01-27
"70 - 74",68,147,688,598,1501,2021-01-27
"75 - 79",37,48,370,453,908,2021-01-27
"80 - 84",8,12,92,164,276,2021-01-27
"85 - 89",2,0,13,31,46,2021-01-27
">90",0,0,2,2,4,2021-01-27
