"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,7,1,8,2020-09-07
"20 - 24",1,1,10,0,12,2020-09-07
"25 - 29",0,0,18,2,20,2020-09-07
"30 - 34",1,0,34,2,37,2020-09-07
"35 - 39",3,1,36,6,46,2020-09-07
"40 - 44",1,4,56,5,66,2020-09-07
"45 - 49",4,1,146,18,169,2020-09-07
"50 - 54",8,8,229,23,268,2020-09-07
"55 - 59",4,4,305,74,387,2020-09-07
"60 - 64",10,5,348,106,469,2020-09-07
"65 - 69",8,7,322,191,528,2020-09-07
"70 - 74",10,5,323,233,571,2020-09-07
"75 - 79",8,5,150,166,329,2020-09-07
"80 - 84",5,1,21,49,76,2020-09-07
"85 - 89",0,1,4,11,16,2020-09-07
">90",0,0,0,0,0,2020-09-07
