"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,3,8,1,12,2020-10-28
"20 - 24",4,2,13,0,19,2020-10-28
"25 - 29",1,1,23,2,27,2020-10-28
"30 - 34",4,3,45,2,54,2020-10-28
"35 - 39",5,2,48,8,63,2020-10-28
"40 - 44",5,11,76,8,100,2020-10-28
"45 - 49",18,22,177,21,238,2020-10-28
"50 - 54",18,45,271,30,364,2020-10-28
"55 - 59",30,59,349,82,520,2020-10-28
"60 - 64",32,96,399,123,650,2020-10-28
"65 - 69",37,97,380,216,730,2020-10-28
"70 - 74",34,122,361,285,802,2020-10-28
"75 - 79",29,70,189,224,512,2020-10-28
"80 - 84",15,26,33,71,145,2020-10-28
"85 - 89",0,1,5,18,24,2020-10-28
">90",0,1,0,0,1,2020-10-28
