"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,20,3,24,2021-07-14
"20 - 24",3,1,46,0,50,2021-07-14
"25 - 29",0,2,94,6,102,2021-07-14
"30 - 34",0,2,167,6,175,2021-07-14
"35 - 39",0,2,196,14,212,2021-07-14
"40 - 44",3,4,299,27,333,2021-07-14
"45 - 49",7,6,578,65,656,2021-07-14
"50 - 54",14,11,993,141,1159,2021-07-14
"55 - 59",15,10,1371,250,1646,2021-07-14
"60 - 64",8,12,1480,452,1952,2021-07-14
"65 - 69",14,13,1480,717,2224,2021-07-14
"70 - 74",11,16,1316,991,2334,2021-07-14
"75 - 79",7,2,654,684,1347,2021-07-14
"80 - 84",0,1,139,228,368,2021-07-14
"85 - 89",0,0,17,37,54,2021-07-14
">90",0,0,4,2,6,2021-07-14
