"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,8,1,10,2020-10-09
"20 - 24",2,1,11,0,14,2020-10-09
"25 - 29",1,1,21,2,25,2020-10-09
"30 - 34",1,2,39,2,44,2020-10-09
"35 - 39",4,1,41,7,53,2020-10-09
"40 - 44",6,8,64,6,84,2020-10-09
"45 - 49",9,12,162,19,202,2020-10-09
"50 - 54",9,19,247,26,301,2020-10-09
"55 - 59",7,28,321,80,436,2020-10-09
"60 - 64",12,37,364,113,526,2020-10-09
"65 - 69",20,48,339,196,603,2020-10-09
"70 - 74",18,53,336,244,651,2020-10-09
"75 - 79",9,38,169,181,397,2020-10-09
"80 - 84",2,9,29,53,93,2020-10-09
"85 - 89",0,2,5,14,21,2020-10-09
">90",0,0,0,0,0,2020-10-09
