"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,8,1,9,2020-08-11
"20 - 24",2,1,8,0,11,2020-08-11
"25 - 29",1,0,16,2,19,2020-08-11
"30 - 34",1,1,33,3,38,2020-08-11
"35 - 39",2,1,33,6,42,2020-08-11
"40 - 44",1,3,55,5,64,2020-08-11
"45 - 49",6,3,136,18,163,2020-08-11
"50 - 54",8,4,219,23,254,2020-08-11
"55 - 59",8,4,294,74,380,2020-08-11
"60 - 64",15,8,332,100,455,2020-08-11
"65 - 69",11,7,313,186,517,2020-08-11
"70 - 74",16,4,305,230,555,2020-08-11
"75 - 79",10,2,144,165,321,2020-08-11
"80 - 84",4,3,19,47,73,2020-08-11
"85 - 89",1,0,4,10,15,2020-08-11
">90",0,0,0,0,0,2020-08-11
