"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,17,2,21,2021-04-18
"20 - 24",2,0,35,0,37,2021-04-18
"25 - 29",4,2,69,4,79,2021-04-18
"30 - 34",12,9,116,4,141,2021-04-18
"35 - 39",18,14,133,13,178,2021-04-18
"40 - 44",20,14,205,20,259,2021-04-18
"45 - 49",23,33,424,50,530,2021-04-18
"50 - 54",54,77,711,110,952,2021-04-18
"55 - 59",82,111,981,197,1371,2021-04-18
"60 - 64",81,117,1133,376,1707,2021-04-18
"65 - 69",90,185,1074,554,1903,2021-04-18
"70 - 74",84,157,980,812,2033,2021-04-18
"75 - 79",35,72,535,587,1229,2021-04-18
"80 - 84",9,3,123,212,347,2021-04-18
"85 - 89",3,0,15,33,51,2021-04-18
">90",0,0,4,2,6,2021-04-18
