"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,7,1,8,2020-08-28
"20 - 24",2,1,9,0,12,2020-08-28
"25 - 29",0,0,18,2,20,2020-08-28
"30 - 34",2,0,33,2,37,2020-08-28
"35 - 39",4,1,35,6,46,2020-08-28
"40 - 44",1,2,55,5,63,2020-08-28
"45 - 49",7,2,140,18,167,2020-08-28
"50 - 54",9,8,224,22,263,2020-08-28
"55 - 59",9,4,298,74,385,2020-08-28
"60 - 64",16,9,339,104,468,2020-08-28
"65 - 69",11,10,317,190,528,2020-08-28
"70 - 74",12,6,319,232,569,2020-08-28
"75 - 79",12,1,146,166,325,2020-08-28
"80 - 84",4,3,21,49,77,2020-08-28
"85 - 89",1,0,4,10,15,2020-08-28
">90",0,0,0,0,0,2020-08-28
