"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,19,3,24,2021-06-23
"20 - 24",2,1,45,0,48,2021-06-23
"25 - 29",1,0,93,6,100,2021-06-23
"30 - 34",2,3,161,6,172,2021-06-23
"35 - 39",7,2,187,14,210,2021-06-23
"40 - 44",8,7,291,25,331,2021-06-23
"45 - 49",14,11,562,63,650,2021-06-23
"50 - 54",26,23,967,137,1153,2021-06-23
"55 - 59",32,31,1337,243,1643,2021-06-23
"60 - 64",23,30,1452,447,1952,2021-06-23
"65 - 69",38,33,1439,710,2220,2021-06-23
"70 - 74",31,27,1289,984,2331,2021-06-23
"75 - 79",7,9,646,681,1343,2021-06-23
"80 - 84",2,1,137,228,368,2021-06-23
"85 - 89",0,0,17,37,54,2021-06-23
">90",0,0,4,2,6,2021-06-23
