"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,8,1,10,2020-10-22
"20 - 24",2,3,11,0,16,2020-10-22
"25 - 29",1,2,22,2,27,2020-10-22
"30 - 34",4,2,43,2,51,2020-10-22
"35 - 39",5,6,43,7,61,2020-10-22
"40 - 44",4,10,70,8,92,2020-10-22
"45 - 49",14,20,170,20,224,2020-10-22
"50 - 54",16,36,260,29,341,2020-10-22
"55 - 59",21,42,339,81,483,2020-10-22
"60 - 64",20,83,384,120,607,2020-10-22
"65 - 69",42,87,358,205,692,2020-10-22
"70 - 74",24,102,353,268,747,2020-10-22
"75 - 79",26,70,178,204,478,2020-10-22
"80 - 84",15,23,31,64,133,2020-10-22
"85 - 89",0,1,5,18,24,2020-10-22
">90",0,0,0,0,0,2020-10-22
