"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,10,1,13,2020-11-23
"20 - 24",4,0,18,0,22,2020-11-23
"25 - 29",2,0,28,2,32,2020-11-23
"30 - 34",3,4,56,2,65,2020-11-23
"35 - 39",5,2,55,9,71,2020-11-23
"40 - 44",10,5,88,10,113,2020-11-23
"45 - 49",16,11,217,24,268,2020-11-23
"50 - 54",23,41,328,43,435,2020-11-23
"55 - 59",43,77,422,95,637,2020-11-23
"60 - 64",64,95,491,162,812,2020-11-23
"65 - 69",47,104,460,272,883,2020-11-23
"70 - 74",60,129,446,367,1002,2020-11-23
"75 - 79",34,68,231,301,634,2020-11-23
"80 - 84",16,16,51,112,195,2020-11-23
"85 - 89",3,2,6,18,29,2020-11-23
">90",0,0,1,3,4,2020-11-23
