"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,18,3,22,2021-06-17
"20 - 24",3,0,44,0,47,2021-06-17
"25 - 29",1,0,92,6,99,2021-06-17
"30 - 34",2,4,161,5,172,2021-06-17
"35 - 39",7,5,185,14,211,2021-06-17
"40 - 44",12,4,288,25,329,2021-06-17
"45 - 49",17,11,557,62,647,2021-06-17
"50 - 54",35,30,950,136,1151,2021-06-17
"55 - 59",38,45,1316,241,1640,2021-06-17
"60 - 64",28,34,1442,448,1952,2021-06-17
"65 - 69",46,45,1423,706,2220,2021-06-17
"70 - 74",43,36,1275,979,2333,2021-06-17
"75 - 79",16,11,638,679,1344,2021-06-17
"80 - 84",2,2,137,229,370,2021-06-17
"85 - 89",0,0,18,36,54,2021-06-17
">90",0,0,4,2,6,2021-06-17
