"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,17,2,21,2021-04-21
"20 - 24",2,3,35,0,40,2021-04-21
"25 - 29",3,2,71,4,80,2021-04-21
"30 - 34",12,11,119,4,146,2021-04-21
"35 - 39",17,15,137,13,182,2021-04-21
"40 - 44",13,16,214,21,264,2021-04-21
"45 - 49",30,30,427,50,537,2021-04-21
"50 - 54",55,75,728,112,970,2021-04-21
"55 - 59",86,106,997,200,1389,2021-04-21
"60 - 64",90,119,1146,381,1736,2021-04-21
"65 - 69",88,189,1095,567,1939,2021-04-21
"70 - 74",86,171,990,821,2068,2021-04-21
"75 - 79",38,78,542,590,1248,2021-04-21
"80 - 84",9,6,123,214,352,2021-04-21
"85 - 89",2,0,16,33,51,2021-04-21
">90",0,0,4,2,6,2021-04-21
