"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-04-30
"20 - 24",3,1,36,0,40,2021-04-30
"25 - 29",2,3,75,4,84,2021-04-30
"30 - 34",11,10,129,4,154,2021-04-30
"35 - 39",14,13,150,13,190,2021-04-30
"40 - 44",14,16,228,21,279,2021-04-30
"45 - 49",32,29,448,52,561,2021-04-30
"50 - 54",49,64,777,119,1009,2021-04-30
"55 - 59",84,113,1052,204,1453,2021-04-30
"60 - 64",77,119,1213,401,1810,2021-04-30
"65 - 69",86,180,1173,597,2036,2021-04-30
"70 - 74",95,177,1041,853,2166,2021-04-30
"75 - 79",33,74,562,612,1281,2021-04-30
"80 - 84",7,6,128,217,358,2021-04-30
"85 - 89",1,0,16,34,51,2021-04-30
">90",0,0,4,2,6,2021-04-30
