"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,10,1,12,2020-11-16
"20 - 24",2,1,18,0,21,2020-11-16
"25 - 29",2,0,28,2,32,2020-11-16
"30 - 34",1,6,55,2,64,2020-11-16
"35 - 39",6,2,53,9,70,2020-11-16
"40 - 44",6,9,86,10,111,2020-11-16
"45 - 49",11,11,213,24,259,2020-11-16
"50 - 54",29,48,308,39,424,2020-11-16
"55 - 59",44,81,400,87,612,2020-11-16
"60 - 64",49,107,470,151,777,2020-11-16
"65 - 69",44,102,443,256,845,2020-11-16
"70 - 74",64,135,415,347,961,2020-11-16
"75 - 79",30,75,220,278,603,2020-11-16
"80 - 84",15,20,46,105,186,2020-11-16
"85 - 89",3,1,5,18,27,2020-11-16
">90",0,0,1,2,3,2020-11-16
