"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-06-09
"20 - 24",3,0,43,0,46,2021-06-09
"25 - 29",4,1,88,6,99,2021-06-09
"30 - 34",3,3,159,5,170,2021-06-09
"35 - 39",10,7,179,14,210,2021-06-09
"40 - 44",14,6,280,25,325,2021-06-09
"45 - 49",24,19,541,62,646,2021-06-09
"50 - 54",40,36,931,134,1141,2021-06-09
"55 - 59",43,64,1292,231,1630,2021-06-09
"60 - 64",37,39,1422,446,1944,2021-06-09
"65 - 69",61,68,1387,702,2218,2021-06-09
"70 - 74",59,54,1248,971,2332,2021-06-09
"75 - 79",14,16,634,676,1340,2021-06-09
"80 - 84",3,0,136,228,367,2021-06-09
"85 - 89",0,0,17,36,53,2021-06-09
">90",0,0,4,2,6,2021-06-09
