"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-05-05
"20 - 24",2,1,37,0,40,2021-05-05
"25 - 29",2,4,77,5,88,2021-05-05
"30 - 34",13,10,130,4,157,2021-05-05
"35 - 39",20,9,151,13,193,2021-05-05
"40 - 44",15,19,236,22,292,2021-05-05
"45 - 49",36,43,456,52,587,2021-05-05
"50 - 54",48,72,796,123,1039,2021-05-05
"55 - 59",85,111,1083,210,1489,2021-05-05
"60 - 64",86,125,1229,408,1848,2021-05-05
"65 - 69",92,177,1201,613,2083,2021-05-05
"70 - 74",100,166,1070,878,2214,2021-05-05
"75 - 79",34,68,572,623,1297,2021-05-05
"80 - 84",6,4,130,218,358,2021-05-05
"85 - 89",1,0,16,35,52,2021-05-05
">90",0,0,4,2,6,2021-05-05
