"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-04-28
"20 - 24",4,0,35,0,39,2021-04-28
"25 - 29",2,3,74,4,83,2021-04-28
"30 - 34",13,9,125,4,151,2021-04-28
"35 - 39",14,14,148,14,190,2021-04-28
"40 - 44",14,16,225,21,276,2021-04-28
"45 - 49",29,32,445,51,557,2021-04-28
"50 - 54",66,66,753,118,1003,2021-04-28
"55 - 59",79,114,1037,204,1434,2021-04-28
"60 - 64",77,123,1195,397,1792,2021-04-28
"65 - 69",97,183,1147,587,2014,2021-04-28
"70 - 74",94,178,1026,845,2143,2021-04-28
"75 - 79",37,78,554,605,1274,2021-04-28
"80 - 84",9,7,126,216,358,2021-04-28
"85 - 89",1,1,16,33,51,2021-04-28
">90",0,0,4,2,6,2021-04-28
