"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",4,0,4,1,9,2020-05-12
"20 - 24",4,1,5,0,10,2020-05-12
"25 - 29",4,3,7,2,16,2020-05-12
"30 - 34",9,5,16,1,31,2020-05-12
"35 - 39",15,3,18,4,40,2020-05-12
"40 - 44",20,7,27,3,57,2020-05-12
"45 - 49",30,26,78,19,153,2020-05-12
"50 - 54",64,40,119,19,242,2020-05-12
"55 - 59",89,52,150,70,361,2020-05-12
"60 - 64",135,75,150,87,447,2020-05-12
"65 - 69",94,84,160,159,497,2020-05-12
"70 - 74",95,86,159,206,546,2020-05-12
"75 - 79",53,33,71,155,312,2020-05-12
"80 - 84",9,6,9,39,63,2020-05-12
"85 - 89",2,1,2,7,12,2020-05-12
">90",1,0,1,0,2,2020-05-12
