"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,3,8,1,12,2020-10-29
"20 - 24",5,2,13,0,20,2020-10-29
"25 - 29",2,0,23,2,27,2020-10-29
"30 - 34",6,1,45,2,54,2020-10-29
"35 - 39",5,3,48,8,64,2020-10-29
"40 - 44",5,10,76,8,99,2020-10-29
"45 - 49",15,23,180,21,239,2020-10-29
"50 - 54",20,42,271,31,364,2020-10-29
"55 - 59",27,65,354,82,528,2020-10-29
"60 - 64",35,98,402,123,658,2020-10-29
"65 - 69",37,101,383,217,738,2020-10-29
"70 - 74",35,128,364,286,813,2020-10-29
"75 - 79",29,69,191,227,516,2020-10-29
"80 - 84",15,28,34,72,149,2020-10-29
"85 - 89",1,0,5,18,24,2020-10-29
">90",0,1,0,0,1,2020-10-29
