"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,9,1,12,2021-01-03
"20 - 24",3,0,20,0,23,2021-01-03
"25 - 29",2,1,39,2,44,2021-01-03
"30 - 34",2,2,74,3,81,2021-01-03
"35 - 39",8,4,71,9,92,2021-01-03
"40 - 44",7,8,111,12,138,2021-01-03
"45 - 49",13,28,253,33,327,2021-01-03
"50 - 54",37,45,406,65,553,2021-01-03
"55 - 59",63,95,543,119,820,2021-01-03
"60 - 64",52,119,629,224,1024,2021-01-03
"65 - 69",70,131,583,349,1133,2021-01-03
"70 - 74",72,170,593,487,1322,2021-01-03
"75 - 79",30,100,304,395,829,2021-01-03
"80 - 84",11,12,75,149,247,2021-01-03
"85 - 89",2,2,8,28,40,2021-01-03
">90",0,0,2,2,4,2021-01-03
