"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,19,3,23,2021-06-20
"20 - 24",3,0,44,0,47,2021-06-20
"25 - 29",1,0,92,6,99,2021-06-20
"30 - 34",2,4,161,5,172,2021-06-20
"35 - 39",7,4,185,14,210,2021-06-20
"40 - 44",10,5,290,25,330,2021-06-20
"45 - 49",16,12,559,62,649,2021-06-20
"50 - 54",27,27,958,137,1149,2021-06-20
"55 - 59",37,40,1323,242,1642,2021-06-20
"60 - 64",22,33,1449,448,1952,2021-06-20
"65 - 69",43,37,1430,708,2218,2021-06-20
"70 - 74",36,32,1283,981,2332,2021-06-20
"75 - 79",13,10,641,681,1345,2021-06-20
"80 - 84",1,2,138,229,370,2021-06-20
"85 - 89",0,0,18,36,54,2021-06-20
">90",0,0,4,2,6,2021-06-20
