"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,10,1,12,2020-11-19
"20 - 24",4,0,18,0,22,2020-11-19
"25 - 29",2,0,28,2,32,2020-11-19
"30 - 34",3,5,55,2,65,2020-11-19
"35 - 39",5,2,54,9,70,2020-11-19
"40 - 44",9,6,87,10,112,2020-11-19
"45 - 49",13,12,214,24,263,2020-11-19
"50 - 54",26,44,317,42,429,2020-11-19
"55 - 59",43,78,411,90,622,2020-11-19
"60 - 64",66,95,476,159,796,2020-11-19
"65 - 69",47,107,450,262,866,2020-11-19
"70 - 74",56,135,435,353,979,2020-11-19
"75 - 79",30,72,227,286,615,2020-11-19
"80 - 84",13,17,50,108,188,2020-11-19
"85 - 89",2,1,6,18,27,2020-11-19
">90",0,0,1,2,3,2020-11-19
