"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,15,2,17,2021-02-25
"20 - 24",2,1,29,0,32,2021-02-25
"25 - 29",1,3,52,3,59,2021-02-25
"30 - 34",4,3,88,3,98,2021-02-25
"35 - 39",3,11,92,11,117,2021-02-25
"40 - 44",8,7,144,16,175,2021-02-25
"45 - 49",19,21,333,42,415,2021-02-25
"50 - 54",23,50,550,88,711,2021-02-25
"55 - 59",53,71,761,157,1042,2021-02-25
"60 - 64",58,108,897,294,1357,2021-02-25
"65 - 69",61,99,839,464,1463,2021-02-25
"70 - 74",58,103,807,683,1651,2021-02-25
"75 - 79",29,51,430,492,1002,2021-02-25
"80 - 84",6,8,103,184,301,2021-02-25
"85 - 89",1,0,15,31,47,2021-02-25
">90",0,0,3,2,5,2021-02-25
