"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",3,0,6,1,10,2020-05-23
"20 - 24",2,1,7,0,10,2020-05-23
"25 - 29",5,1,8,2,16,2020-05-23
"30 - 34",7,3,21,1,32,2020-05-23
"35 - 39",11,1,24,6,42,2020-05-23
"40 - 44",9,5,39,3,56,2020-05-23
"45 - 49",28,11,97,20,156,2020-05-23
"50 - 54",47,19,150,22,238,2020-05-23
"55 - 59",57,38,197,74,366,2020-05-23
"60 - 64",91,45,215,94,445,2020-05-23
"65 - 69",78,44,205,172,499,2020-05-23
"70 - 74",78,57,204,213,552,2020-05-23
"75 - 79",38,22,94,158,312,2020-05-23
"80 - 84",10,3,10,41,64,2020-05-23
"85 - 89",1,0,3,7,11,2020-05-23
">90",0,0,1,0,1,2020-05-23
