"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,8,1,10,2020-05-28
"20 - 24",2,1,7,0,10,2020-05-28
"25 - 29",5,1,8,2,16,2020-05-28
"30 - 34",8,2,21,1,32,2020-05-28
"35 - 39",9,1,25,6,41,2020-05-28
"40 - 44",7,4,43,3,57,2020-05-28
"45 - 49",27,6,105,20,158,2020-05-28
"50 - 54",45,19,162,22,248,2020-05-28
"55 - 59",54,26,213,75,368,2020-05-28
"60 - 64",85,26,242,97,450,2020-05-28
"65 - 69",62,37,226,173,498,2020-05-28
"70 - 74",68,42,224,215,549,2020-05-28
"75 - 79",30,20,104,161,315,2020-05-28
"80 - 84",5,3,16,40,64,2020-05-28
"85 - 89",2,0,3,7,12,2020-05-28
">90",0,0,1,0,1,2020-05-28
