"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,13,2,16,2021-02-09
"20 - 24",3,2,25,0,30,2021-02-09
"25 - 29",5,4,45,3,57,2021-02-09
"30 - 34",7,1,82,3,93,2021-02-09
"35 - 39",5,0,88,11,104,2021-02-09
"40 - 44",6,8,129,15,158,2021-02-09
"45 - 49",16,27,311,38,392,2021-02-09
"50 - 54",32,43,496,83,654,2021-02-09
"55 - 59",59,77,693,145,974,2021-02-09
"60 - 64",69,96,821,279,1265,2021-02-09
"65 - 69",65,111,771,439,1386,2021-02-09
"70 - 74",86,108,726,647,1567,2021-02-09
"75 - 79",28,47,404,472,951,2021-02-09
"80 - 84",9,9,97,174,289,2021-02-09
"85 - 89",2,0,14,31,47,2021-02-09
">90",0,0,3,2,5,2021-02-09
