"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,0,14,2,17,2021-02-17
"20 - 24",2,1,27,0,30,2021-02-17
"25 - 29",2,3,50,3,58,2021-02-17
"30 - 34",4,2,88,3,97,2021-02-17
"35 - 39",1,3,92,11,107,2021-02-17
"40 - 44",7,8,136,16,167,2021-02-17
"45 - 49",21,24,320,40,405,2021-02-17
"50 - 54",33,40,517,88,678,2021-02-17
"55 - 59",56,75,727,152,1010,2021-02-17
"60 - 64",59,111,860,287,1317,2021-02-17
"65 - 69",59,104,811,447,1421,2021-02-17
"70 - 74",64,103,770,665,1602,2021-02-17
"75 - 79",24,48,416,483,971,2021-02-17
"80 - 84",9,8,99,180,296,2021-02-17
"85 - 89",1,0,15,31,47,2021-02-17
">90",0,0,3,2,5,2021-02-17
