"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,9,1,12,2020-12-30
"20 - 24",2,1,20,0,23,2020-12-30
"25 - 29",4,1,37,2,44,2020-12-30
"30 - 34",3,2,71,3,79,2020-12-30
"35 - 39",6,4,70,9,89,2020-12-30
"40 - 44",9,8,108,11,136,2020-12-30
"45 - 49",16,21,248,32,317,2020-12-30
"50 - 54",28,54,402,63,547,2020-12-30
"55 - 59",56,89,533,117,795,2020-12-30
"60 - 64",47,116,620,218,1001,2020-12-30
"65 - 69",58,148,572,340,1118,2020-12-30
"70 - 74",67,164,579,472,1282,2020-12-30
"75 - 79",30,86,300,385,801,2020-12-30
"80 - 84",11,11,73,148,243,2020-12-30
"85 - 89",3,3,8,26,40,2020-12-30
">90",0,0,2,2,4,2020-12-30
