"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,9,1,10,2020-06-21
"20 - 24",2,2,7,0,11,2020-06-21
"25 - 29",4,0,11,2,17,2020-06-21
"30 - 34",8,0,24,3,35,2020-06-21
"35 - 39",4,1,30,6,41,2020-06-21
"40 - 44",3,5,47,4,59,2020-06-21
"45 - 49",17,1,123,20,161,2020-06-21
"50 - 54",42,5,186,23,256,2020-06-21
"55 - 59",48,11,241,75,375,2020-06-21
"60 - 64",60,6,282,100,448,2020-06-21
"65 - 69",38,19,273,180,510,2020-06-21
"70 - 74",56,14,260,224,554,2020-06-21
"75 - 79",30,14,115,162,321,2020-06-21
"80 - 84",3,1,17,42,63,2020-06-21
"85 - 89",2,0,4,9,15,2020-06-21
">90",0,0,0,0,0,2020-06-21
