"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,10,1,13,2020-11-11
"20 - 24",3,2,16,0,21,2020-11-11
"25 - 29",1,2,27,2,32,2020-11-11
"30 - 34",2,3,53,2,60,2020-11-11
"35 - 39",6,3,52,8,69,2020-11-11
"40 - 44",6,8,83,10,107,2020-11-11
"45 - 49",11,14,205,22,252,2020-11-11
"50 - 54",29,52,295,35,411,2020-11-11
"55 - 59",43,75,386,87,591,2020-11-11
"60 - 64",49,109,451,145,754,2020-11-11
"65 - 69",52,113,420,238,823,2020-11-11
"70 - 74",54,141,400,329,924,2020-11-11
"75 - 79",27,79,213,262,581,2020-11-11
"80 - 84",14,24,41,98,177,2020-11-11
"85 - 89",2,0,5,18,25,2020-11-11
">90",0,1,1,1,3,2020-11-11
