"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,17,2,20,2021-04-13
"20 - 24",3,0,34,0,37,2021-04-13
"25 - 29",4,4,66,4,78,2021-04-13
"30 - 34",8,10,114,3,135,2021-04-13
"35 - 39",13,15,130,12,170,2021-04-13
"40 - 44",18,19,199,19,255,2021-04-13
"45 - 49",22,30,413,48,513,2021-04-13
"50 - 54",55,80,686,108,929,2021-04-13
"55 - 59",67,107,965,194,1333,2021-04-13
"60 - 64",83,123,1109,366,1681,2021-04-13
"65 - 69",95,168,1050,535,1848,2021-04-13
"70 - 74",83,142,957,798,1980,2021-04-13
"75 - 79",40,76,522,577,1215,2021-04-13
"80 - 84",9,7,120,208,344,2021-04-13
"85 - 89",3,0,15,33,51,2021-04-13
">90",1,0,3,2,6,2021-04-13
