"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",1,1,9,1,12,2020-12-28
"20 - 24",2,1,20,0,23,2020-12-28
"25 - 29",4,1,37,2,44,2020-12-28
"30 - 34",4,2,70,3,79,2020-12-28
"35 - 39",6,2,70,9,87,2020-12-28
"40 - 44",9,10,106,11,136,2020-12-28
"45 - 49",16,19,246,32,313,2020-12-28
"50 - 54",26,51,397,63,537,2020-12-28
"55 - 59",52,88,527,115,782,2020-12-28
"60 - 64",45,104,614,213,976,2020-12-28
"65 - 69",52,146,566,335,1099,2020-12-28
"70 - 74",66,150,569,465,1250,2020-12-28
"75 - 79",31,76,295,381,783,2020-12-28
"80 - 84",10,12,73,146,241,2020-12-28
"85 - 89",3,1,8,26,38,2020-12-28
">90",0,0,2,2,4,2020-12-28
