"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",4,0,4,1,9,2020-05-13
"20 - 24",3,1,6,0,10,2020-05-13
"25 - 29",4,5,7,2,18,2020-05-13
"30 - 34",9,5,16,1,31,2020-05-13
"35 - 39",13,2,20,4,39,2020-05-13
"40 - 44",17,7,29,3,56,2020-05-13
"45 - 49",31,25,80,19,155,2020-05-13
"50 - 54",58,34,124,19,235,2020-05-13
"55 - 59",81,49,163,70,363,2020-05-13
"60 - 64",127,70,160,90,447,2020-05-13
"65 - 69",87,78,170,159,494,2020-05-13
"70 - 74",90,84,167,207,548,2020-05-13
"75 - 79",45,31,79,154,309,2020-05-13
"80 - 84",9,5,9,39,62,2020-05-13
"85 - 89",2,1,2,7,12,2020-05-13
">90",1,0,1,0,2,2020-05-13
