"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,8,1,10,2020-08-05
"20 - 24",2,1,8,0,11,2020-08-05
"25 - 29",0,1,16,2,19,2020-08-05
"30 - 34",1,1,33,3,38,2020-08-05
"35 - 39",2,0,33,6,41,2020-08-05
"40 - 44",2,2,54,5,63,2020-08-05
"45 - 49",5,1,136,18,160,2020-08-05
"50 - 54",8,2,219,23,252,2020-08-05
"55 - 59",9,5,292,74,380,2020-08-05
"60 - 64",14,7,332,101,454,2020-08-05
"65 - 69",12,6,311,184,513,2020-08-05
"70 - 74",14,7,305,231,557,2020-08-05
"75 - 79",8,5,145,165,323,2020-08-05
"80 - 84",3,2,19,45,69,2020-08-05
"85 - 89",1,1,4,10,16,2020-08-05
">90",0,0,0,0,0,2020-08-05
