"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,10,1,13,2020-12-03
"20 - 24",2,0,20,0,22,2020-12-03
"25 - 29",3,2,28,2,35,2020-12-03
"30 - 34",4,3,59,3,69,2020-12-03
"35 - 39",6,4,58,9,77,2020-12-03
"40 - 44",7,5,94,10,116,2020-12-03
"45 - 49",7,11,230,29,277,2020-12-03
"50 - 54",24,39,345,46,454,2020-12-03
"55 - 59",53,67,447,103,670,2020-12-03
"60 - 64",60,82,529,178,849,2020-12-03
"65 - 69",50,91,491,296,928,2020-12-03
"70 - 74",57,115,490,395,1057,2020-12-03
"75 - 79",36,53,250,327,666,2020-12-03
"80 - 84",17,11,57,123,208,2020-12-03
"85 - 89",2,2,6,21,31,2020-12-03
">90",0,0,1,3,4,2020-12-03
