"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,0,18,3,21,2021-05-22
"20 - 24",2,0,40,0,42,2021-05-22
"25 - 29",4,5,81,6,96,2021-05-22
"30 - 34",7,4,153,5,169,2021-05-22
"35 - 39",16,12,166,14,208,2021-05-22
"40 - 44",18,11,263,24,316,2021-05-22
"45 - 49",31,30,508,54,623,2021-05-22
"50 - 54",47,63,865,129,1104,2021-05-22
"55 - 59",74,94,1197,222,1587,2021-05-22
"60 - 64",72,84,1329,436,1921,2021-05-22
"65 - 69",79,122,1321,660,2182,2021-05-22
"70 - 74",75,118,1178,939,2310,2021-05-22
"75 - 79",30,42,605,654,1331,2021-05-22
"80 - 84",4,3,134,223,364,2021-05-22
"85 - 89",1,0,17,35,53,2021-05-22
">90",0,0,4,2,6,2021-05-22
