"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",2,2,9,1,14,2021-01-12
"20 - 24",2,1,23,0,26,2021-01-12
"25 - 29",1,2,41,2,46,2021-01-12
"30 - 34",4,3,74,3,84,2021-01-12
"35 - 39",8,5,75,9,97,2021-01-12
"40 - 44",7,8,116,12,143,2021-01-12
"45 - 49",19,29,265,34,347,2021-01-12
"50 - 54",34,49,430,71,584,2021-01-12
"55 - 59",53,80,593,128,854,2021-01-12
"60 - 64",64,113,672,240,1089,2021-01-12
"65 - 69",63,155,632,369,1219,2021-01-12
"70 - 74",66,173,631,541,1411,2021-01-12
"75 - 79",48,74,325,418,865,2021-01-12
"80 - 84",9,10,84,159,262,2021-01-12
"85 - 89",1,1,11,29,42,2021-01-12
">90",0,0,2,2,4,2021-01-12
