"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,17,2,20,2021-04-08
"20 - 24",2,0,34,0,36,2021-04-08
"25 - 29",1,6,65,3,75,2021-04-08
"30 - 34",8,6,111,3,128,2021-04-08
"35 - 39",11,17,125,12,165,2021-04-08
"40 - 44",11,22,195,17,245,2021-04-08
"45 - 49",22,31,403,47,503,2021-04-08
"50 - 54",41,79,672,106,898,2021-04-08
"55 - 59",71,99,944,189,1303,2021-04-08
"60 - 64",67,119,1095,352,1633,2021-04-08
"65 - 69",84,170,1029,527,1810,2021-04-08
"70 - 74",67,151,942,780,1940,2021-04-08
"75 - 79",34,82,515,559,1190,2021-04-08
"80 - 84",9,7,119,207,342,2021-04-08
"85 - 89",2,1,15,33,51,2021-04-08
">90",1,0,3,2,6,2021-04-08
