"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,1,18,2,21,2021-04-24
"20 - 24",2,2,35,0,39,2021-04-24
"25 - 29",0,3,74,4,81,2021-04-24
"30 - 34",14,10,119,4,147,2021-04-24
"35 - 39",12,16,144,13,185,2021-04-24
"40 - 44",12,15,221,21,269,2021-04-24
"45 - 49",33,28,431,51,543,2021-04-24
"50 - 54",63,71,737,112,983,2021-04-24
"55 - 59",79,105,1017,203,1404,2021-04-24
"60 - 64",76,125,1172,388,1761,2021-04-24
"65 - 69",85,192,1116,579,1972,2021-04-24
"70 - 74",84,172,1008,831,2095,2021-04-24
"75 - 79",31,78,548,598,1255,2021-04-24
"80 - 84",8,8,125,214,355,2021-04-24
"85 - 89",2,1,16,33,52,2021-04-24
">90",0,0,4,2,6,2021-04-24
