"Leeftijd","IC_naar_Klinisch","IC_aanwezig","Verlaten_Levend","Verlaten_Overleden","Totaal","Datum"
"<20",0,2,10,1,13,2020-11-22
"20 - 24",4,0,18,0,22,2020-11-22
"25 - 29",2,0,28,2,32,2020-11-22
"30 - 34",3,4,56,2,65,2020-11-22
"35 - 39",4,2,55,9,70,2020-11-22
"40 - 44",9,6,88,10,113,2020-11-22
"45 - 49",14,13,217,24,268,2020-11-22
"50 - 54",27,42,324,43,436,2020-11-22
"55 - 59",46,78,419,92,635,2020-11-22
"60 - 64",69,90,486,161,806,2020-11-22
"65 - 69",48,106,457,267,878,2020-11-22
"70 - 74",56,124,447,364,991,2020-11-22
"75 - 79",32,69,231,296,628,2020-11-22
"80 - 84",16,18,51,111,196,2020-11-22
"85 - 89",3,2,6,18,29,2020-11-22
">90",0,0,1,3,4,2020-11-22
